id;TemaPrioritario;FONTE;CodiceCategoria;CATEGORIA;UNITA;FinProvincia;FinRegione;TotSpese
1537;11;Agenda digitale;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;4500;4500;11000
1538;5;Compet. per le imprese;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;5100;5100;10200
1539;7;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;19908;19908;92904
1540;11;Agenda digitale;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;7116,6;7116,6;17724,8
1541;5;Compet. per le imprese;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;7887,5;7887,5;15775
1660;51;Ambiente e prevenzione dei rischi;11;PROTEZIONE, VALORIZZAZIONE E FRUIZIONE DELL'AMBIENTE;ASSISI;64000;64000;
1688;50;Ambiente e prevenzione dei rischi;99;ALTRI SERVIZI PER LA COLLETTIVITA';ASSISI;40000;40000;
1700;54;Ambiente e prevenzione dei rischi;1;SERVIZI E TECNOLOGIE PER L'INFORMAZIONE E LE COMUNICAZIONI;ASSISI;34784,15;34784,15;
1702;6;Ricerca e innovazione;12;RIASSETTO E RECUPERO DI SITI URBANI E PRODUTTIVI;ASSISI;10969,69;10969,69;26814,79
1711;6;Ricerca e innovazione;12;RIASSETTO E RECUPERO DI SITI URBANI E PRODUTTIVI;ASSISI;7093,54;7093,54;17339,77
1719;6;Ricerca e innovazione;12;RIASSETTO E RECUPERO DI SITI URBANI E PRODUTTIVI;ASSISI;8803,09;11631,19;24975,22
1742;4;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;77505;77505;200590
1746;4;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;63457,5;63457,5;155485
1751;4;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;53437,5;53437,5;150125
1766;4;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;40512,5;40512,5;101475
1779;4;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;33821,97;33821,97;83890
1815;6;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;1870,09;1870,08;8727,05
1816;6;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;5896,72;5896,72;27518,04
1837;6;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;8182,19;8182,19;38183,54
1844;6;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;1382,99;1382,98;6453,92
1845;6;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;7788;6237;
1878;4;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;13440;13440;384420
1885;43;Energia e efficienza energetica;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;6700;6700;20100
1891;4;Ricerca e innovazione;62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;ASSISI;35240;35240;116820
1896;43;Energia e efficienza energetica;62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;ASSISI;30684,86;30684,86;58701,33
1897;4;Ricerca e innovazione;62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;ASSISI;83355;83355;223890
1899;6;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;1913,73;1913,74;8930,77
1900;6;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;6299,13;6299,13;29395,9
1932;11;Agenda digitale;41;OPERE E STRUTTURE PER IL TURISMO;ASSISI;9600;9600;28800
1933;43;Energia e efficienza energetica;41;OPERE E STRUTTURE PER IL TURISMO;ASSISI;14463,41;19109,96;62350,53
1934;5;Compet. per le imprese;41;OPERE E STRUTTURE PER IL TURISMO;ASSISI;3450;3450;6900
1936;11;Agenda digitale;41;OPERE E STRUTTURE PER IL TURISMO;ASSISI;1020;1020;3060
1950;51;Ambiente e prevenzione dei rischi;11;PROTEZIONE, VALORIZZAZIONE E FRUIZIONE DELL'AMBIENTE;ASSISI;29424,21;29424,2;
2006;58;Attrazione culturale, naturale e turistica;11;BENI CULTURALI;ASSISI;42323,36;42323,36;
2031;40;Energia e efficienza energetica;6;PRODUZIONE  DI ENERGIA;ASSISI;40510,29;40510,29;
2053;43;Energia e efficienza energetica;16;DISTRIBUZIONE DI ENERGIA;ASSISI;155276,77;155276,77;
2094;53;Ambiente e prevenzione dei rischi;8;SOCIALI E SCOLASTICHE;ASSISI;14400,64;14400,64;
2101;43;Energia e efficienza energetica;16;DISTRIBUZIONE DI ENERGIA;ASSISI;147494,35;147494,35;
2102;40;Energia e efficienza energetica;6;PRODUZIONE  DI ENERGIA;ASSISI;49237,67;49237,67;
2109;40;Energia e efficienza energetica;6;PRODUZIONE  DI ENERGIA;ASSISI;51242,23;51242,23;
2128;6;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;7241,2;9567,51;39220,34
2148;6;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;3368,1;3368,1;15717,8
2204;11;Agenda digitale;18;TECNOLOGIE INFORMATICHE;ASSISI;3000;3000;9000
2208;11;Agenda digitale;18;TECNOLOGIE INFORMATICHE;ASSISI;3264;3264;9792
2221;11;Agenda digitale;18;TECNOLOGIE INFORMATICHE;ASSISI;4084,2;4084,2;12252,6
2250;11;Agenda digitale;18;TECNOLOGIE INFORMATICHE;ASSISI;6384;6384;19152
2257;11;Agenda digitale;18;TECNOLOGIE INFORMATICHE;ASSISI;2708;2708;8124
2283;11;Agenda digitale;18;TECNOLOGIE INFORMATICHE;ASSISI;2880;2880;8640
2287;6;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;2815,15;2815,14;13137,35
2288;6;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;5549,27;5549,27;25896,62
2290;6;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;2177,85;2177,84;10163,29
2291;6;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;3307,5;3307,5;15435
2302;53;Ambiente e prevenzione dei rischi;8;SOCIALI E SCOLASTICHE;ASSISI;75000;75000;
2303;53;Ambiente e prevenzione dei rischi;8;SOCIALI E SCOLASTICHE;ASSISI;11542,7;11542,71;
2313;5;Compet. per le imprese;21;SERVIZI ALLE IMPRESE INDUSTRIALI;ASSISI;3700;3700;7400
2325;5;Compet. per le imprese;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;5100;5100;10200
2327;5;Compet. per le imprese;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;2610;2610;5220
2362;5;Compet. per le imprese;21;SERVIZI ALLE IMPRESE INDUSTRIALI;ASSISI;1162,5;1162,5;2325
2370;5;Compet. per le imprese;21;SERVIZI ALLE IMPRESE INDUSTRIALI;ASSISI;3893,75;3893,75;7787,5
2378;5;Compet. per le imprese;21;SERVIZI ALLE IMPRESE INDUSTRIALI;ASSISI;1162,5;1162,5;2325
2411;5;Compet. per le imprese;21;SERVIZI ALLE IMPRESE INDUSTRIALI;ASSISI;2225;2225;4450
2434;5;Compet. per le imprese;21;SERVIZI ALLE IMPRESE INDUSTRIALI;ASSISI;4668,75;4668,75;9337,5
2457;5;Compet. per le imprese;21;SERVIZI ALLE IMPRESE INDUSTRIALI;ASSISI;4512,5;4512,5;9025
2487;7;Ricerca e innovazione;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;19000;19000;114000
2501;5;Compet. per le imprese;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;2502,75;2502,75;5005,5
2513;7;Ricerca e innovazione;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;14337,5;14337,5;86025
2527;53;Ambiente e prevenzione dei rischi;8;SOCIALI E SCOLASTICHE;ASSISI;91453,21;91453,21;
2534;53;Ambiente e prevenzione dei rischi;8;SOCIALI E SCOLASTICHE;ASSISI;154908,38;154908,38;
2563;43;Energia e efficienza energetica;62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;ASSISI;84537,5;84537,5;507225
2580;58;Attrazione culturale, naturale e turistica;99;ALTRE INFRASTRUTTURE SOCIALI;ASSISI;92000;92000;
2591;58;Attrazione culturale, naturale e turistica;11;BENI CULTURALI;ASSISI;83028,64;83028,64;
2592;58;Attrazione culturale, naturale e turistica;11;BENI CULTURALI;ASSISI;34648;34648;
2615;5;Compet. per le imprese;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;3262,5;3262,5;6525
2638;6;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;7100;7000;
2641;53;Ambiente e prevenzione dei rischi;99;ALTRI SERVIZI PER LA COLLETTIVITA';ASSISI;3600;3600;
2644;43;Energia e efficienza energetica;99;ALTRE INFRASTRUTTURE SOCIALI;ASSISI;52841,67;52841,67;
2655;43;Energia e efficienza energetica;62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;ASSISI;31825;31825;63650
2662;53;Ambiente e prevenzione dei rischi;1;SERVIZI E TECNOLOGIE PER L'INFORMAZIONE E LE COMUNICAZIONI;ASSISI;3000;3000;
2672;7;Ricerca e innovazione;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;92325;92325;738600
2676;53;Ambiente e prevenzione dei rischi;99;ALTRI SERVIZI PER LA COLLETTIVITA';ASSISI;750;750;
2695;43;Energia e efficienza energetica;62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;ASSISI;105687,5;105687,5;634125
2874;4;Ricerca e innovazione;62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;ASSISI;33757,5;33757,5;125385
2875;4;Ricerca e innovazione;62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;ASSISI;17130;17130;22840
2880;4;Ricerca e innovazione;62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;ASSISI;76075;76075;456450
2889;4;Ricerca e innovazione;62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;ASSISI;96124,78;96124,78;576000
2890;4;Ricerca e innovazione;62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;ASSISI;48325;48325;96650
